group,alexa_name,likely_current_name,type,entity_id
Large Guest Room,Large Guest Room Reading Right,KNX Dimmer Large Guest Room Reading Right,light,light.knx_dimmer_large_guest_room_reading_right
Large Guest Room,Large Guest Room Spots,KNX Dimmer Large Guest Room Spots,light,light.knx_dimmer_large_guest_room_spots
Large Guest Room,Large Guest Room Strip,KNX Dimmer Large Guest Room Strip,light,light.knx_dimmer_large_guest_room_strip
Left Corridor,Left Corridor lights,KNX Dimmer Left Corridor lights,light,light.knx_dimmer_left_corridor_lights
Left Corridor,Left Corridor Night LED,KNX Switch Left CorridorNight led,light,light.knx_switch_left_corridornight_led
Lounge,Lounge A/C 1,L1.201,climate,climate.l1_201
Lounge,Lounge A/C 2,L1.202,climate,climate.l1_202
Lounge,Lounge Closet Led,KNX Switch Lounge Closet Led,light,light.knx_switch_lounge_closet_led
Lounge,Lounge Cove,KNX Dimmer Lounge Cove,light,light.knx_dimmer_lounge_cove
Lounge,Lounge Hidden,KNX Switch Lounge Hidden,light,light.knx_switch_lounge_hidden
Lounge,Lounge Left Blinds,HK Lounge Left Blinds,cover,cover.hk_lounge_left_blinds
Lounge,Lounge Right Blinds,HK Lounge Right Blinds,cover,cover.hk_lounge_right_blinds
Lounge,Lounge Spots,KNX Dimmer Lounge Spots,light,light.knx_dimmer_lounge_spots
Lounge,Lounge Strip,KNX Dimmer Lounge Strip,light,light.knx_dimmer_lounge_strip
Lounge,Lounge TV Led,KNX Switch Lounge TV Led,light,light.knx_switch_lounge_tv_led
Master Bathroom,Master Bathroom Hidden,KNX Switch Master Bathroom Hidden,light,light.knx_switch_master_bathroom_hidden
Master Bathroom,Master Bathroom Lights,KNX Switch Master Bathroom Lights,light,light.knx_switch_master_bathroom_lights
Master Bathroom,Master Bathroom Mirror,KNX Switch Master Bathroom Mirror,light,light.knx_switch_master_bathroom_mirror
Master Bathroom,Master Bathroom Night Light,KNX Switch Master Bathroom Night Light,light,light.knx_switch_master_bathroom_night_light
Master Bathroom,Master Bathroom Strip,KNX Dimmer Master Bathroom Strip,light,light.knx_dimmer_master_bathroom_strip
Master Bathroom,Master Bathroom Towel Rail,KNX Switch Master Bathroom Towel Rail,light,light.knx_switch_master_bathroom_towel_rail
Master Bathroom,Master Bathroom Vent,KNX Switch Master Bathroom Vent,light,light.knx_switch_master_bathroom_vent
Master Bedroom,Master Bedroom A/C,L1.112,climate,climate.l1_112
Master Bedroom,Master Bedroom Balcony Left,HK Master Bedroom Balcony Left,cover,cover.hk_master_bedroom_balcony_left
Master Bedroom,Master Bedroom Balcony Right,HK Master Bedroom Balcony Right,cover,cover.hk_master_bedroom_balcony_right
Master Bedroom,Master Bedroom Closets Lightstrip,KNX Switch Master Bedroom Closets Lightstrip,light,light.knx_switch_master_bedroom_closets_lightstrip
Master Bedroom,Master Bedroom Closets Strip,KNX Switch Master Bedroom Closets Strip,light,light.knx_switch_master_bedroom_closets_strip
Master Bedroom,Master Bedroom Hidden,KNX Switch Master Bedroom Hidden,light,light.knx_switch_master_bedroom_hidden
Master Bedroom,Master Bedroom Lights,KNX Dimmer Master Bedroom Lights,light,light.knx_dimmer_master_bedroom_lights
Master Bedroom,Master Bedroom Read Left,KNX Switch Master Bedroom Read Left,light,light.knx_switch_master_bedroom_read_left
Master Bedroom,Master Bedroom Read Right,KNX Switch Master Bedroom Read Right,light,light.knx_switch_master_bedroom_read_right
Master Bedroom,Master Bedroom Spots,KNX Dimmer Master Bedroom Spots,light,light.knx_dimmer_master_bedroom_spots
Master Bedroom,Master Bedroom Strip,KNX Dimmer Master Bedroom Strip,light,light.knx_dimmer_master_bedroom_strip
Master Bedroom,Master Bedroom Window,HK Master Bedroom Window,cover,cover.hk_master_bedroom_window
Master Bedroom,MBR TV Lift,KNX Switch MBR TV Lift,light,light.knx_switch_mbr_tv_lift
Master Bedroom,White Noise,White Noise,switch,switch.white_noise
Master Corridor,Master Corridor Closets Lightstrip,KNX Switch Master Corridor Closets Lightstrip,light,light.knx_switch_master_corridor_closets_lightstrip
Master Corridor,Master Corridor Lights,KNX Dimmer Master Corridor Lights,light,light.knx_dimmer_master_corridor_lights
Medium Guest Room,Medium Guest Room A/C,L1.102,climate,climate.l1_102
Medium Guest Room,Medium Guest Room Blinds,HK Medium Guest Room Blinds,cover,cover.hk_medium_guest_room_blinds
Medium Guest Room,Medium Guest Room Closets Lightstrip,KNX Switch Medium Guest Room Closets Lightstrip,light,light.knx_switch_medium_guest_room_closets_lightstrip
Medium Guest Room,Medium Guest Room Fan,KNX Switch Medium Guest Room Fan,light,light.knx_switch_medium_guest_room_fan
Medium Guest Room,Medium Guest Room Hidden,KNX Switch Medium Guest Room Hidden,light,light.knx_switch_medium_guest_room_hidden
Medium Guest Room,Medium Guest Room lights,KNX Switch Medium Guest Room lights,light,light.knx_switch_medium_guest_room_lights
Medium Guest Room,Medium Guest Room Reading Left,KNX Switch Medium Guest Room Reading Left,light,light.knx_switch_medium_guest_room_reading_left
Medium Guest Room,Medium Guest Room Reading Right,KNX Switch Medium Guest Room Reading Right,light,light.knx_switch_medium_guest_room_reading_right
Medium Guest Room,Medium Guest Room Spots,KNX Dimmer Medium Guest Room Spots,light,light.knx_dimmer_medium_guest_room_spots
Medium Guest Room,Medium Guest Room Strip,KNX Dimmer Medium Guest Room Strip,light,light.knx_dimmer_medium_guest_room_strip
Right Corridor,Right Corridor lights,KNX Dimmer Right Corridor lights,light,light.knx_dimmer_right_corridor_lights
Right Corridor,Right Corridor Night led,KNX Switch Right Corridor Night led,light,light.knx_switch_right_corridor_night_led
Sauna,Sauna A/C,L1.103,climate,climate.l1_103
Sauna,Sauna Spots,KNX Dimmer Sauna Spots,light,light.knx_dimmer_sauna_spots
Small Guest Room,Small Guest Room A/C,L1.107,climate,climate.l1_107
Small Guest Room,Small Guest Room Closets Lightstrip,KNX Switch Small Guest Room Closets Lightstrip,light,light.knx_switch_small_guest_room_closets_lightstrip
Small Guest Room,Small Guest Room Fan,KNX Switch Small Guest Room Fan,light,light.knx_switch_small_guest_room_fan
Small Guest Room,Small Guest Room Hidden,KNX Switch Small Guest RoomHidden,light,light.knx_switch_small_guest_roomhidden
Small Guest Room,Small Guest Room lights,KNX Dimmer Small Guest Room  lights,light,light.knx_dimmer_small_guest_room_lights
Small Guest Room,Small Guest Room Reading light,KNX Switch Small Guest Room Reading light,light,light.knx_switch_small_guest_room_reading_light
Small Guest Room,Small Guest Room Spots,KNX Dimmer Small Guest Room Spots,light,light.knx_dimmer_small_guest_room_spots
Small Guest Room,Small Guest Room Strip,KNX Dimmer Small Guest Room Strip,light,light.knx_dimmer_small_guest_room_strip
Stairs & Landing,Landing lights,KNX Dimmer Landing lights,light,light.knx_dimmer_landing_lights
Stairs & Landing,Stairs,KNX Dimmer Stairs,light,light.knx_dimmer_stairs
Terrace,Terrace Fan,KNX Switch Terrace Fan,light,light.knx_switch_terrace_fan
Terrace,Terrace Heating,KNX Switch Terrace Heating,light,light.knx_switch_terrace_heating
Terrace,Terrace Lights,KNX Switch Terrace Lights,light,light.knx_switch_terrace_lights
Utility Room,Utility Room Hall,KNX Switch Utility Room Hall,light,light.knx_switch_utility_room_hall
Utility Room,Utility Room Lights,KNX Switch Utility Room Lights,light,light.knx_switch_utility_room_lights
Utility Room,Utility Room Spot,KNX Switch Utility Room Spot,light,light.knx_switch_utility_room_spot
Utility Room,Utility Room Strip,KNX Switch Utility Room Strip,light,light.knx_switch_utility_room_strip
