room,accessory,suggested_name,type,entity_id
Downstairs Toilet,Downstairs Toilet Defog,Defog,light,light.knx_switch_downstairs_toilet_defog
Downstairs Toilet,Downstairs Toilet Hidden,Hidden,light,light.knx_switch_downstairs_toilet_hidden
Downstairs Toilet,Downstairs Toilet Mirror,Mirror,light,light.knx_switch_downstairs_toilet_mirror
Downstairs Toilet,Downstairs Toilet Restroom lights,Restroom lights,light,light.knx_switch_downstairs_toilet_restroom_lights
Downstairs Toilet,Downstairs Toilet Spots 1,Spots 1,light,light.knx_switch_downstairs_toilet_spots_1
Downstairs Toilet,Downstairs Toilet Spots 2,Spots 2,light,light.knx_switch_downstairs_toilet_spots_2
Downstairs Toilet,Downstairs Toilet Vent,Vent,light,light.knx_switch_downstairs_toilet_vent
Downstairs Toilet,Restroom Spots,Restroom Spots,light,light.knx_dimmer_restroom_spots
Downstairs Toilet,Restroom Vent,Restroom Vent,light,light.knx_switch_restroom_vent
Entrance,Entrance Night led,Night LED,light,light.knx_switch_entrance_night_led
Entrance,Entrance Strip,Strip,light,light.knx_dimmer_entrance_strip
Entrance,Hall Spots,Hall Spots,light,light.knx_dimmer_hall_spots
Guest Bathroom,Guest Bathroom Blinds,Blinds,cover,cover.guest_bathroom_guest_bathroom_blinds
Guest Bathroom,Guest Bathroom Mirror,Mirror,light,light.knx_switch_guest_bathroom_mirror
Guest Bathroom,Guest Bathroom Spots 1,Spots 1,light,light.knx_switch_guest_bathroom_spots_1
Guest Bathroom,Guest Bathroom Spots 2,Spots 2,light,light.knx_switch_guest_bathroom_spots_2
Guest Bathroom,Guest Bathroom Strip,Strip,light,light.knx_switch_guest_bathroom_strip
Guest Bathroom,Guest Bathroom Towel Rail,Towel Rail,light,light.knx_switch_guest_bathroom_towel_rail
Guest Bathroom,Guest Bathroom Vent,Vent,light,light.knx_switch_guest_bathroom_vent
Guest Bathroom,Guest Bathroom lights,Lights,light,light.knx_switch_guest_bathroom_lights
Gym,L1.106,A/C,climate,climate.l1_106
Gym,Gym lights,Lights,light,light.knx_dimmer_gym_lights
Kitchen,L1.111,A/C 1,climate,climate.l1_111
Kitchen,L1.114,A/C 2,climate,climate.l1_114
Kitchen,L1.115,A/C 3,climate,climate.l1_115
Kitchen,Kitchen Left,Left Blinds,cover,cover.kitchen_kitchen_left
Kitchen,Kitchen Right,Right Blinds,cover,cover.kitchen_kitchen_right
Kitchen,Kitchen Ceiling,Ceiling,light,light.knx_dimmer_kitchen_ceiling
Kitchen,Kitchen Hidden,Hidden,light,light.knx_switch_kitchen_hidden
Kitchen,Kitchen Island,Island,light,light.knx_dimmer_kitchen_island
Kitchen,Kitchen Sink led,Sink LED,light,light.knx_switch_kitchen_sink_led
Kitchen,Kitchen Strip 1,Strip 1,light,light.knx_dimmer_kitchen_strip_1
Kitchen,Kitchen Strip 2,Strip 2,light,light.knx_dimmer_kitchen_strip_2
Large Guest Room,L1.108,A/C,climate,climate.l1_108
Large Guest Room,Large Guest Room Blinds,Blinds,cover,cover.large_guest_room_large_guest_room_blinds
Large Guest Room,Large Guest Room Closets Lightstrip,Closets Lightstrip,light,light.knx_switch_large_guest_room_closets_lightstrip
Large Guest Room,Large Guest Room Fan,Fan,light,light.knx_switch_large_guest_room_fan
Large Guest Room,Large Guest Room Hidden,Hidden,light,light.knx_switch_large_guest_room_hidden
Large Guest Room,Large Guest Room Reading Left,Reading Left,light,light.knx_switch_large_guest_room_reading_left
Large Guest Room,Large Guest Room Reading Right,Reading Right,light,light.knx_dimmer_large_guest_room_reading_right
Large Guest Room,Large Guest Room Spots,Spots,light,light.knx_dimmer_large_guest_room_spots
Large Guest Room,Large Guest Room Strip,Strip,light,light.knx_dimmer_large_guest_room_strip
Large Guest Room,Large Guest Room lights,Lights,light,light.knx_dimmer_large_guest_room_lights
Left Corridor,Left Corridor lights,Lights,light,light.knx_dimmer_left_corridor_lights
Left Corridor,Left CorridorNight led,Left CorridorNight LED,light,light.knx_switch_left_corridornight_led
Lounge,L1.201,A/C 1,climate,climate.l1_201
Lounge,L1.202,A/C 2,climate,climate.l1_202
Lounge,Lounge Left,Left Blinds,cover,cover.lounge_lounge_left
Lounge,Lounge Right,Right Blinds,cover,cover.lounge_lounge_right
Lounge,Lounge Closet Led,Closet Led,light,light.knx_switch_lounge_closet_led
Lounge,Lounge Cove,Cove,light,light.knx_dimmer_lounge_cove
Lounge,Lounge Hidden,Hidden,light,light.knx_switch_lounge_hidden
Lounge,Lounge Spots,Spots,light,light.knx_dimmer_lounge_spots
Lounge,Lounge Strip,Strip,light,light.knx_dimmer_lounge_strip
Lounge,Lounge TV Led,TV Led,light,light.knx_switch_lounge_tv_led
Master Bathroom,Master Bathroom Hidden,Hidden,light,light.knx_switch_master_bathroom_hidden
Master Bathroom,Master Bathroom Lights,Lights,light,light.knx_switch_master_bathroom_lights
Master Bathroom,Master Bathroom Mirror,Mirror,light,light.knx_switch_master_bathroom_mirror
Master Bathroom,Master Bathroom Night Light,Night Light,light,light.knx_switch_master_bathroom_night_light
Master Bathroom,Master Bathroom Strip,Strip,light,light.knx_dimmer_master_bathroom_strip
Master Bathroom,Master Bathroom Towel Rail,Towel Rail,light,light.knx_switch_master_bathroom_towel_rail
Master Bathroom,Master Bathroom Vent,Vent,light,light.knx_switch_master_bathroom_vent
Master Bedroom,L1.112,A/C,climate,climate.l1_112
Master Bedroom,Master Bedroom Balcony Left,Balcony Left,cover,cover.master_bedroom_master_bedroom_balcony_left
Master Bedroom,Master Bedroom Balcony Right,Balcony Right,cover,cover.master_bedroom_master_bedroom_balcony_right
Master Bedroom,Master Bedroom Window,Window,cover,cover.master_bedroom_master_bedroom_window
Master Bedroom,MBR TV Lift,TV Lift,light,light.knx_switch_mbr_tv_lift
Master Bedroom,Master Bedroom Closets Lightstrip,Closets Lightstrip,light,light.knx_switch_master_bedroom_closets_lightstrip
Master Bedroom,Master Bedroom Closets Strip,Closets Strip,light,light.knx_switch_master_bedroom_closets_strip
Master Bedroom,Master Bedroom Hidden,Hidden,light,light.knx_switch_master_bedroom_hidden
Master Bedroom,Master Bedroom Lights,Lights,light,light.knx_dimmer_master_bedroom_lights
Master Bedroom,Master Bedroom Read Left,Read Left,light,light.knx_switch_master_bedroom_read_left
Master Bedroom,Master Bedroom Read Right,Read Right,light,light.knx_switch_master_bedroom_read_right
Master Bedroom,Master Bedroom Spots,Spots,light,light.knx_dimmer_master_bedroom_spots
Master Bedroom,Master Bedroom Strip,Strip,light,light.knx_dimmer_master_bedroom_strip
Master Corridor,Master Corridor Closets Lightstrip,Closets Lightstrip,light,light.knx_switch_master_corridor_closets_lightstrip
Master Corridor,Master Corridor Lights,Lights,light,light.knx_dimmer_master_corridor_lights
Medium Guest Room,L1.102,A/C,climate,climate.l1_102
Medium Guest Room,Medium Guest Room Blinds,Blinds,cover,cover.medium_guest_room_medium_guest_room_blinds
Medium Guest Room,Medium Guest Room Closets Lightstrip,Closets Lightstrip,light,light.knx_switch_medium_guest_room_closets_lightstrip
Medium Guest Room,Medium Guest Room Fan,Fan,light,light.knx_switch_medium_guest_room_fan
Medium Guest Room,Medium Guest Room Hidden,Hidden,light,light.knx_switch_medium_guest_room_hidden
Medium Guest Room,Medium Guest Room Reading Left,Reading Left,light,light.knx_switch_medium_guest_room_reading_left
Medium Guest Room,Medium Guest Room Reading Right,Reading Right,light,light.knx_switch_medium_guest_room_reading_right
Medium Guest Room,Medium Guest Room Spots,Spots,light,light.knx_dimmer_medium_guest_room_spots
Medium Guest Room,Medium Guest Room Strip,Strip,light,light.knx_dimmer_medium_guest_room_strip
Medium Guest Room,Medium Guest Room lights,Lights,light,light.knx_switch_medium_guest_room_lights
Right Corridor,Right Corridor Night led,Night LED,light,light.knx_switch_right_corridor_night_led
Right Corridor,Right Corridor lights,Lights,light,light.knx_dimmer_right_corridor_lights
Sauna,L1.103,A/C,climate,climate.l1_103
Sauna,Sauna Spots,Spots,light,light.knx_dimmer_sauna_spots
Small Guest Room,L1.107,A/C,climate,climate.l1_107
Small Guest Room,Small Guest Room Closets Lightstrip,Closets Lightstrip,light,light.knx_switch_small_guest_room_closets_lightstrip
Small Guest Room,Small Guest Room Fan,Fan,light,light.knx_switch_small_guest_room_fan
Small Guest Room,Small Guest Room Reading light,Reading light,light,light.knx_switch_small_guest_room_reading_light
Small Guest Room,Small Guest Room Spots,Spots,light,light.knx_dimmer_small_guest_room_spots
Small Guest Room,Small Guest Room Strip,Strip,light,light.knx_dimmer_small_guest_room_strip
Small Guest Room,Small Guest Room lights,Lights,light,light.knx_dimmer_small_guest_room_lights
Small Guest Room,Small Guest RoomHidden,Small Guest RoomHidden,light,light.knx_switch_small_guest_roomhidden
Stairs & Landing,Landing lights,Landing lights,light,light.knx_dimmer_landing_lights
Stairs & Landing,Stairs,Stairs,light,light.knx_dimmer_stairs
Terrace,Terrace Fan,Fan,light,light.knx_switch_terrace_fan
Terrace,Terrace Heating,Heating,light,light.knx_switch_terrace_heating
Terrace,Terrace Lights,Lights,light,light.knx_switch_terrace_lights
Utility Room,Utility Room Hall,Hall,light,light.knx_switch_utility_room_hall
Utility Room,Utility Room Lights,Lights,light,light.knx_switch_utility_room_lights
Utility Room,Utility Room Spot,Spot,light,light.knx_switch_utility_room_spot
Utility Room,Utility Room Strip,Strip,light,light.knx_switch_utility_room_strip
Default Room (leave here),All House Exit,All House Exit,scene switch,light.knx_switch_all_house_exit
Default Room (leave here),All House Morning,All House Morning,scene switch,light.knx_switch_all_house_morning
Default Room (leave here),All House Night,All House Night,scene switch,light.knx_switch_all_house_night
Default Room (leave here),All Rooms closets Lightstrip,All Rooms closets Lightstrip,scene switch,light.knx_switch_all_rooms_closets_lightstrip
Default Room (leave here),Main All House,Main All House,scene switch,light.knx_switch_main_all_house
Default Room (leave here),Welcome,Welcome,scene switch,light.knx_switch_welcome
